# test name, category, real vulnerability, cwe,Benchmark version: 1.1, 2015-05-22
BenchmarkTest00225,hash,FALSE,328,,
BenchmarkTest00226,hash,FALSE,328,,
BenchmarkTest00227,hash,TRUE,328,,
BenchmarkTest00228,hash,TRUE,328,,
BenchmarkTest00229,xss,TRUE,79,,
BenchmarkTest00230,xss,TRUE,79,,
BenchmarkTest00231,xss,TRUE,79,,
BenchmarkTest00232,xss,TRUE,79,,
BenchmarkTest00233,xss,TRUE,79,,
BenchmarkTest00234,xss,TRUE,79,,
BenchmarkTest00235,weakrand,TRUE,330,,
BenchmarkTest00236,securecookie,FALSE,614,,
BenchmarkTest00237,cmdi,TRUE,78,,
BenchmarkTest00238,weakrand,FALSE,330,,
BenchmarkTest00239,trustbound,TRUE,501,,
BenchmarkTest00240,sqli,TRUE,89,,
BenchmarkTest00241,sqli,TRUE,89,,
BenchmarkTest00242,sqli,TRUE,89,,
BenchmarkTest00243,sqli,TRUE,89,,
BenchmarkTest00244,sqli,TRUE,89,,
BenchmarkTest00245,xpathi,TRUE,643,,
BenchmarkTest00246,crypto,TRUE,327,,
BenchmarkTest00247,pathtraver,TRUE,22,,
BenchmarkTest00248,pathtraver,TRUE,22,,
BenchmarkTest00249,pathtraver,TRUE,22,,
BenchmarkTest00250,pathtraver,TRUE,22,,
BenchmarkTest00251,pathtraver,TRUE,22,,
BenchmarkTest00252,pathtraver,TRUE,22,,
BenchmarkTest00253,ldapi,TRUE,90,,
BenchmarkTest00254,hash,FALSE,328,,
BenchmarkTest00255,xss,TRUE,79,,
BenchmarkTest00256,xss,TRUE,79,,
BenchmarkTest00257,cmdi,TRUE,78,,
BenchmarkTest00258,weakrand,TRUE,330,,
BenchmarkTest00259,weakrand,TRUE,330,,
BenchmarkTest00260,weakrand,TRUE,330,,
BenchmarkTest00261,weakrand,TRUE,330,,
BenchmarkTest00262,cmdi,TRUE,78,,
BenchmarkTest00263,cmdi,TRUE,78,,
BenchmarkTest00264,weakrand,FALSE,330,,
BenchmarkTest00265,trustbound,TRUE,501,,
BenchmarkTest00266,sqli,TRUE,89,,
BenchmarkTest00267,sqli,TRUE,89,,
BenchmarkTest00268,crypto,TRUE,327,,
BenchmarkTest00269,ldapi,TRUE,90,,
BenchmarkTest00270,ldapi,TRUE,90,,
BenchmarkTest00271,pathtraver,TRUE,22,,
BenchmarkTest00272,pathtraver,TRUE,22,,
BenchmarkTest00273,pathtraver,TRUE,22,,
BenchmarkTest00274,weakrand,TRUE,330,,
BenchmarkTest00275,hash,FALSE,328,,
BenchmarkTest00276,hash,TRUE,328,,
BenchmarkTest00277,hash,FALSE,328,,
BenchmarkTest00278,hash,TRUE,328,,
BenchmarkTest00279,xss,TRUE,79,,
BenchmarkTest00280,xss,TRUE,79,,
BenchmarkTest00281,xss,TRUE,79,,
BenchmarkTest00282,xss,TRUE,79,,
BenchmarkTest00283,cmdi,TRUE,78,,
BenchmarkTest00284,weakrand,TRUE,330,,
BenchmarkTest00285,weakrand,TRUE,330,,
BenchmarkTest00286,weakrand,TRUE,330,,
BenchmarkTest00287,weakrand,FALSE,330,,
BenchmarkTest00288,weakrand,FALSE,330,,
BenchmarkTest00289,trustbound,TRUE,501,,
BenchmarkTest00290,trustbound,TRUE,501,,
BenchmarkTest00291,sqli,TRUE,89,,
BenchmarkTest00292,sqli,TRUE,89,,
BenchmarkTest00293,sqli,TRUE,89,,
BenchmarkTest00294,xpathi,TRUE,643,,
BenchmarkTest00295,crypto,TRUE,327,,
BenchmarkTest00296,crypto,TRUE,327,,
BenchmarkTest00297,crypto,TRUE,327,,
BenchmarkTest00298,pathtraver,FALSE,22,,
BenchmarkTest00299,pathtraver,FALSE,22,,
BenchmarkTest00300,pathtraver,FALSE,22,,
BenchmarkTest00301,ldapi,FALSE,90,,
BenchmarkTest00302,ldapi,FALSE,90,,
BenchmarkTest00303,hash,TRUE,328,,
BenchmarkTest00304,hash,FALSE,328,,
BenchmarkTest00305,hash,FALSE,328,,
BenchmarkTest00306,xss,FALSE,79,,
BenchmarkTest00307,xss,FALSE,79,,
BenchmarkTest00308,xss,FALSE,79,,
BenchmarkTest00309,xss,FALSE,79,,
BenchmarkTest00310,weakrand,TRUE,330,,
BenchmarkTest00311,weakrand,TRUE,330,,
BenchmarkTest00312,weakrand,TRUE,330,,
BenchmarkTest00313,securecookie,TRUE,614,,
BenchmarkTest00314,xss,FALSE,79,,
BenchmarkTest00315,cmdi,FALSE,78,,
BenchmarkTest00316,cmdi,FALSE,78,,
BenchmarkTest00317,weakrand,FALSE,330,,
BenchmarkTest00318,trustbound,FALSE,501,,
BenchmarkTest00319,trustbound,FALSE,501,,
BenchmarkTest00320,trustbound,FALSE,501,,
BenchmarkTest00321,sqli,FALSE,89,,
BenchmarkTest00322,sqli,FALSE,89,,
BenchmarkTest00323,sqli,FALSE,89,,
BenchmarkTest00324,sqli,FALSE,89,,
BenchmarkTest00325,sqli,FALSE,89,,
BenchmarkTest00326,sqli,FALSE,89,,
BenchmarkTest00327,crypto,FALSE,327,,
BenchmarkTest00328,crypto,FALSE,327,,
BenchmarkTest00329,crypto,FALSE,327,,
BenchmarkTest00330,crypto,FALSE,327,,
BenchmarkTest00331,crypto,FALSE,327,,
BenchmarkTest00332,crypto,FALSE,327,,
BenchmarkTest00333,crypto,TRUE,327,,
BenchmarkTest00334,crypto,TRUE,327,,
BenchmarkTest00335,crypto,TRUE,327,,
BenchmarkTest00336,crypto,TRUE,327,,
BenchmarkTest00337,crypto,TRUE,327,,
BenchmarkTest00338,crypto,TRUE,327,,
BenchmarkTest00339,crypto,TRUE,327,,
BenchmarkTest00340,crypto,FALSE,327,,
BenchmarkTest00341,crypto,FALSE,327,,
BenchmarkTest00342,crypto,FALSE,327,,
BenchmarkTest00343,crypto,FALSE,327,,
BenchmarkTest00344,crypto,FALSE,327,,
BenchmarkTest00345,crypto,FALSE,327,,
BenchmarkTest00346,crypto,FALSE,327,,
BenchmarkTest00347,crypto,FALSE,327,,
BenchmarkTest00348,crypto,FALSE,327,,
BenchmarkTest00349,crypto,FALSE,327,,
BenchmarkTest00350,crypto,FALSE,327,,
BenchmarkTest00351,crypto,FALSE,327,,
BenchmarkTest00352,crypto,FALSE,327,,
BenchmarkTest00353,crypto,TRUE,327,,
BenchmarkTest00354,crypto,TRUE,327,,
BenchmarkTest00355,crypto,TRUE,327,,
BenchmarkTest00356,crypto,TRUE,327,,
BenchmarkTest00357,crypto,TRUE,327,,
BenchmarkTest00358,crypto,TRUE,327,,
BenchmarkTest00359,crypto,FALSE,327,,
BenchmarkTest00360,crypto,FALSE,327,,
BenchmarkTest00361,crypto,FALSE,327,,
BenchmarkTest00362,crypto,FALSE,327,,
BenchmarkTest00363,crypto,FALSE,327,,
BenchmarkTest00364,crypto,FALSE,327,,
BenchmarkTest00365,crypto,TRUE,327,,
BenchmarkTest00366,crypto,TRUE,327,,
BenchmarkTest00367,crypto,TRUE,327,,
BenchmarkTest00368,crypto,TRUE,327,,
BenchmarkTest00369,crypto,TRUE,327,,
BenchmarkTest00370,crypto,TRUE,327,,
BenchmarkTest00371,crypto,TRUE,327,,
BenchmarkTest00372,crypto,TRUE,327,,
BenchmarkTest00373,crypto,TRUE,327,,
BenchmarkTest00374,crypto,TRUE,327,,
BenchmarkTest00375,crypto,TRUE,327,,
BenchmarkTest00376,ldapi,TRUE,90,,
BenchmarkTest00377,ldapi,TRUE,90,,
BenchmarkTest00378,ldapi,TRUE,90,,
BenchmarkTest00379,ldapi,FALSE,90,,
BenchmarkTest00380,ldapi,FALSE,90,,
BenchmarkTest00381,ldapi,TRUE,90,,
BenchmarkTest00382,ldapi,FALSE,90,,
BenchmarkTest00383,ldapi,TRUE,90,,
BenchmarkTest00384,ldapi,TRUE,90,,
BenchmarkTest00385,ldapi,TRUE,90,,
BenchmarkTest00386,ldapi,TRUE,90,,
BenchmarkTest00387,pathtraver,TRUE,22,,
BenchmarkTest00388,pathtraver,TRUE,22,,
BenchmarkTest00389,pathtraver,FALSE,22,,
BenchmarkTest00390,pathtraver,FALSE,22,,
BenchmarkTest00391,pathtraver,FALSE,22,,
BenchmarkTest00392,pathtraver,TRUE,22,,
BenchmarkTest00393,pathtraver,TRUE,22,,
BenchmarkTest00394,pathtraver,FALSE,22,,
BenchmarkTest00395,pathtraver,TRUE,22,,
BenchmarkTest00396,pathtraver,FALSE,22,,
BenchmarkTest00397,pathtraver,TRUE,22,,
BenchmarkTest00398,pathtraver,TRUE,22,,
BenchmarkTest00399,pathtraver,TRUE,22,,
BenchmarkTest00400,pathtraver,TRUE,22,,
BenchmarkTest00401,pathtraver,FALSE,22,,
BenchmarkTest00402,pathtraver,TRUE,22,,
BenchmarkTest00403,pathtraver,TRUE,22,,
BenchmarkTest00404,pathtraver,TRUE,22,,
BenchmarkTest00405,pathtraver,FALSE,22,,
BenchmarkTest00406,pathtraver,TRUE,22,,
BenchmarkTest00407,pathtraver,TRUE,22,,
BenchmarkTest00408,pathtraver,TRUE,22,,
BenchmarkTest00409,pathtraver,TRUE,22,,
BenchmarkTest00410,pathtraver,TRUE,22,,
BenchmarkTest00411,pathtraver,FALSE,22,,
BenchmarkTest00412,pathtraver,TRUE,22,,
BenchmarkTest00413,pathtraver,FALSE,22,,
BenchmarkTest00414,pathtraver,TRUE,22,,
BenchmarkTest00415,pathtraver,FALSE,22,,
BenchmarkTest00416,pathtraver,FALSE,22,,
BenchmarkTest00417,pathtraver,FALSE,22,,
BenchmarkTest00418,pathtraver,TRUE,22,,
BenchmarkTest00419,pathtraver,TRUE,22,,
BenchmarkTest00420,pathtraver,TRUE,22,,
BenchmarkTest00421,pathtraver,TRUE,22,,
BenchmarkTest00422,pathtraver,FALSE,22,,
BenchmarkTest00423,pathtraver,TRUE,22,,
BenchmarkTest00424,pathtraver,FALSE,22,,
BenchmarkTest00425,pathtraver,FALSE,22,,
BenchmarkTest00426,pathtraver,TRUE,22,,
BenchmarkTest00427,pathtraver,TRUE,22,,
BenchmarkTest00428,pathtraver,TRUE,22,,
BenchmarkTest00429,pathtraver,FALSE,22,,
BenchmarkTest00430,pathtraver,TRUE,22,,
BenchmarkTest00431,pathtraver,TRUE,22,,
BenchmarkTest00432,pathtraver,TRUE,22,,
BenchmarkTest00433,pathtraver,TRUE,22,,
BenchmarkTest00434,pathtraver,TRUE,22,,
BenchmarkTest00435,pathtraver,TRUE,22,,
BenchmarkTest00436,pathtraver,FALSE,22,,
BenchmarkTest00437,pathtraver,FALSE,22,,
BenchmarkTest00438,pathtraver,FALSE,22,,
BenchmarkTest00439,pathtraver,TRUE,22,,
BenchmarkTest00440,pathtraver,TRUE,22,,
BenchmarkTest00441,pathtraver,FALSE,22,,
BenchmarkTest00442,pathtraver,FALSE,22,,
BenchmarkTest00443,pathtraver,TRUE,22,,
BenchmarkTest00444,pathtraver,TRUE,22,,
BenchmarkTest00445,pathtraver,TRUE,22,,
BenchmarkTest00446,pathtraver,TRUE,22,,
BenchmarkTest00447,pathtraver,FALSE,22,,
BenchmarkTest00448,pathtraver,FALSE,22,,
BenchmarkTest00449,pathtraver,TRUE,22,,
BenchmarkTest00450,pathtraver,TRUE,22,,
BenchmarkTest00451,pathtraver,TRUE,22,,
BenchmarkTest00452,pathtraver,TRUE,22,,
BenchmarkTest00453,pathtraver,TRUE,22,,
BenchmarkTest00454,pathtraver,FALSE,22,,
BenchmarkTest00455,pathtraver,TRUE,22,,
BenchmarkTest00456,pathtraver,TRUE,22,,
BenchmarkTest00457,pathtraver,FALSE,22,,
BenchmarkTest00458,pathtraver,TRUE,22,,
BenchmarkTest00459,ldapi,TRUE,90,,
BenchmarkTest00460,ldapi,TRUE,90,,
BenchmarkTest00461,ldapi,TRUE,90,,
BenchmarkTest00462,ldapi,TRUE,90,,
BenchmarkTest00463,ldapi,TRUE,90,,
BenchmarkTest00464,ldapi,TRUE,90,,
BenchmarkTest00465,ldapi,TRUE,90,,
BenchmarkTest00466,ldapi,FALSE,90,,
BenchmarkTest00467,ldapi,TRUE,90,,
BenchmarkTest00468,ldapi,TRUE,90,,
BenchmarkTest00469,ldapi,TRUE,90,,
BenchmarkTest00470,weakrand,TRUE,330,,
BenchmarkTest00471,weakrand,TRUE,330,,
BenchmarkTest00472,hash,FALSE,328,,
BenchmarkTest00473,hash,FALSE,328,,
BenchmarkTest00474,hash,FALSE,328,,
BenchmarkTest00475,hash,TRUE,328,,
BenchmarkTest00476,hash,TRUE,328,,
BenchmarkTest00477,hash,TRUE,328,,
BenchmarkTest00478,hash,TRUE,328,,
BenchmarkTest00479,hash,TRUE,328,,
BenchmarkTest00480,hash,TRUE,328,,
BenchmarkTest00481,hash,TRUE,328,,
BenchmarkTest00482,hash,TRUE,328,,
BenchmarkTest00483,hash,FALSE,328,,
BenchmarkTest00484,hash,FALSE,328,,
BenchmarkTest00485,hash,FALSE,328,,
BenchmarkTest00486,hash,FALSE,328,,
BenchmarkTest00487,hash,FALSE,328,,
BenchmarkTest00488,hash,FALSE,328,,
BenchmarkTest00489,hash,FALSE,328,,
BenchmarkTest00490,hash,FALSE,328,,
BenchmarkTest00491,hash,TRUE,328,,
BenchmarkTest00492,hash,TRUE,328,,
BenchmarkTest00493,hash,TRUE,328,,
BenchmarkTest00494,hash,FALSE,328,,
BenchmarkTest00495,hash,FALSE,328,,
BenchmarkTest00496,hash,FALSE,328,,
BenchmarkTest00497,hash,FALSE,328,,
BenchmarkTest00498,hash,FALSE,328,,
BenchmarkTest00499,hash,TRUE,328,,
BenchmarkTest00500,hash,TRUE,328,,
BenchmarkTest00501,hash,TRUE,328,,
BenchmarkTest00502,hash,TRUE,328,,
BenchmarkTest00503,hash,TRUE,328,,
BenchmarkTest00504,hash,TRUE,328,,
BenchmarkTest00505,hash,TRUE,328,,
BenchmarkTest00506,hash,TRUE,328,,
BenchmarkTest00507,hash,TRUE,328,,
BenchmarkTest00508,hash,TRUE,328,,
BenchmarkTest00509,hash,TRUE,328,,
BenchmarkTest00510,hash,TRUE,328,,
BenchmarkTest00511,xss,FALSE,79,,
BenchmarkTest00512,xss,FALSE,79,,
BenchmarkTest00513,xss,FALSE,79,,
BenchmarkTest00514,xss,FALSE,79,,
BenchmarkTest00515,xss,FALSE,79,,
BenchmarkTest00516,xss,FALSE,79,,
BenchmarkTest00517,xss,FALSE,79,,
BenchmarkTest00518,xss,FALSE,79,,
BenchmarkTest00519,xss,FALSE,79,,
BenchmarkTest00520,xss,FALSE,79,,
BenchmarkTest00521,xss,FALSE,79,,
BenchmarkTest00522,xss,FALSE,79,,
BenchmarkTest00523,xss,FALSE,79,,
BenchmarkTest00524,xss,FALSE,79,,
BenchmarkTest00525,xss,FALSE,79,,
BenchmarkTest00526,xss,FALSE,79,,
BenchmarkTest00527,xss,FALSE,79,,
BenchmarkTest00528,xss,FALSE,79,,
BenchmarkTest00529,xss,FALSE,79,,
BenchmarkTest00530,xss,FALSE,79,,
BenchmarkTest00531,xss,FALSE,79,,
BenchmarkTest00532,xss,FALSE,79,,
BenchmarkTest00533,xss,FALSE,79,,
BenchmarkTest00534,xss,FALSE,79,,
BenchmarkTest00535,xss,FALSE,79,,
BenchmarkTest00536,xss,FALSE,79,,
BenchmarkTest00537,xss,FALSE,79,,
BenchmarkTest00538,xss,FALSE,79,,
BenchmarkTest00539,xss,FALSE,79,,
BenchmarkTest00540,xss,FALSE,79,,
BenchmarkTest00541,xss,FALSE,79,,
BenchmarkTest00542,xss,FALSE,79,,
BenchmarkTest00543,xss,FALSE,79,,
BenchmarkTest00544,xss,FALSE,79,,
BenchmarkTest00545,xss,FALSE,79,,
BenchmarkTest00546,xss,FALSE,79,,
BenchmarkTest00547,xss,FALSE,79,,
BenchmarkTest00548,xss,FALSE,79,,
BenchmarkTest00549,xss,FALSE,79,,
BenchmarkTest00550,xss,FALSE,79,,
BenchmarkTest00551,xss,FALSE,79,,
BenchmarkTest00552,xss,FALSE,79,,
BenchmarkTest00553,xss,FALSE,79,,
BenchmarkTest00554,xss,FALSE,79,,
BenchmarkTest00555,xss,FALSE,79,,
BenchmarkTest00556,xss,FALSE,79,,
BenchmarkTest00557,xss,FALSE,79,,
BenchmarkTest00558,xss,FALSE,79,,
BenchmarkTest00559,xss,FALSE,79,,
BenchmarkTest00560,xss,FALSE,79,,
BenchmarkTest00561,xss,FALSE,79,,
BenchmarkTest00562,xss,FALSE,79,,
BenchmarkTest00563,xss,FALSE,79,,
BenchmarkTest00564,xss,FALSE,79,,
BenchmarkTest00565,xss,FALSE,79,,
BenchmarkTest00566,xss,FALSE,79,,
BenchmarkTest00567,xss,FALSE,79,,
BenchmarkTest00568,xss,FALSE,79,,
BenchmarkTest00569,xss,FALSE,79,,
BenchmarkTest00570,xss,FALSE,79,,
BenchmarkTest00571,xss,FALSE,79,,
BenchmarkTest00572,xss,FALSE,79,,
BenchmarkTest00573,xss,FALSE,79,,
BenchmarkTest00574,xss,FALSE,79,,
BenchmarkTest00575,xss,FALSE,79,,
BenchmarkTest00576,xss,FALSE,79,,
BenchmarkTest00577,xss,FALSE,79,,
BenchmarkTest00578,xss,FALSE,79,,
BenchmarkTest00579,xss,FALSE,79,,
BenchmarkTest00580,xss,FALSE,79,,
BenchmarkTest00581,xss,FALSE,79,,
